Season,Date,Time,Status,Team1,Score1,Team2,Score2,Venue,Match-Results
Season 1,"Sunday, 26 July",20:00 (IST),Match 15 - Completed ,Jaipur Pink Panthers,23,Patna Pirates,29,"Sawai Mansingh Stadium, Jaipur",Patna Pirates beat Jaipur Pink Panthers (29-23)
Season 1,"Sunday, 26 July",21:00 (IST),Match 16 - Completed ,Telugu Titans,26,U Mumba,27,"Sawai Mansingh Stadium, Jaipur",U Mumba beat Telugu Titans (27-26)
Season 1,"Monday, 27 July",20:00 (IST),Match 17 - Completed ,Dabang Delhi K.C.,18,Bengaluru Bulls,33,"Sawai Mansingh Stadium, Jaipur",Bengaluru Bulls beat Dabang Delhi (33-18)
Season 1,"Monday, 27 July",21:00 (IST),Match 18 - Completed ,Jaipur Pink Panthers,22,Telugu Titans,33,"Sawai Mansingh Stadium, Jaipur",Telugu Titans beat Jaipur Pink Panthers (33-22)
Season 1,"Tuesday, 28 July",20:00 (IST),Match 19 - Completed ,Jaipur Pink Panthers,36,Bengaluru Bulls,23,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Bengaluru Bulls (36-23)
Season 1,"Wednesday, 29 July",20:00 (IST),Match 20 - Completed ,Puneri Paltan,33,Bengal Warriors,29,"Sawai Mansingh Stadium, Jaipur",Puneri Paltan beat Bengal Warriors (33-29)
Season 1,"Wednesday, 29 July",21:00 (IST),Match 21 - Completed ,Jaipur Pink Panthers,27,Dabang Delhi K.C.,35,"Sawai Mansingh Stadium, Jaipur",Dabang Delhi beat Jaipur Pink Panthers (35-27)
Season 1,"Thursday, 30 July",20:00 (IST),Match 22 - Completed ,Patna Pirates,22,Telugu Titans,34,"Patliputra Sports Complex, Patna",Telugu Titans beat Patna Pirates (34-22)
Season 1,"Friday, 31 July",20:00 (IST),Match 23 - Completed ,Telugu Titans,21,Bengaluru Bulls,35,"Patliputra Sports Complex, Patna",Bengaluru Bulls beat Telugu Titans (35-21)
Season 1,"Friday, 31 July",21:00 (IST),Match 24 - Completed ,Patna Pirates,39,Dabang Delhi K.C.,22,"Patliputra Sports Complex, Patna",Patna Pirates beat Dabang Delhi (39-22)
Season 1,"Saturday, 01 August",20:00 (IST),Match 25 - Completed ,Dabang Delhi K.C.,22,U Mumba,27,"Patliputra Sports Complex, Patna",U Mumba beat Dabang Delhi (27-22)
Season 1,"Saturday, 01 August",21:00 (IST),Match 26 - Completed ,Patna Pirates,32,Puneri Paltan,28,"Patliputra Sports Complex, Patna",Patna Pirates beat Puneri Paltan (32-28)
Season 1,"Sunday, 02 August",20:00 (IST),Match 27 - Completed ,Puneri Paltan,29,Jaipur Pink Panthers,35,"Patliputra Sports Complex, Patna",Jaipur Pink Panthers beat Puneri Paltan (35-29)
Season 1,"Sunday, 02 August",21:00 (IST),Match 28 - Completed ,Patna Pirates,20,Bengal Warriors,20,"Patliputra Sports Complex, Patna",Match Tied
Season 1,"Tuesday, 04 August",20:00 (IST),Match 29 - Completed ,Telugu Titans,39,Jaipur Pink Panthers,39,"Gachibowli Indoor Stadium, Hyderabad",Match Tied
Season 1,"Tuesday, 04 August",21:00 (IST),Match 30 - Completed ,U Mumba,29,Dabang Delhi K.C.,25,"Gachibowli Indoor Stadium, Hyderabad",U Mumba beat Dabang Delhi (29-25)
Season 1,"Wednesday, 05 August",20:00 (IST),Match 31 - Completed ,Telugu Titans,44,Bengal Warriors,28,"Gachibowli Indoor Stadium, Hyderabad",Telugu Titans beat Bengal Warriors (44-28)
Season 1,"Thursday, 06 August",20:00 (IST),Match 32 - Completed ,Bengal Warriors,22,Bengaluru Bulls,33,"Gachibowli Indoor Stadium, Hyderabad",Bengaluru Bulls beat Bengal Warriors (33-22)
Season 1,"Thursday, 06 August",21:00 (IST),Match 33 - Completed ,Telugu Titans,54,Patna Pirates,32,"Gachibowli Indoor Stadium, Hyderabad",Telugu Titans beat Patna Pirates (54-32)
Season 1,"Friday, 07 August",20:00 (IST),Match 34 - Completed ,Jaipur Pink Panthers,35,U Mumba,25,"Gachibowli Indoor Stadium, Hyderabad",Jaipur Pink Panthers beat U Mumba (35-25)
Season 1,"Friday, 07 August",21:00 (IST),Match 35 - Completed ,Telugu Titans,29,Puneri Paltan,29,"Gachibowli Indoor Stadium, Hyderabad",Match Tied
Season 1,"Saturday, 08 August",20:00 (IST),Match 36 - Completed ,Dabang Delhi K.C.,17,Bengal Warriors,20,"Thyagaraj Sports Complex, Delhi",Bengal Warriors beat Dabang Delhi (20-17)
Season 1,"Saturday, 08 August",21:00 (IST),Match 37 - Completed ,Patna Pirates,30,Bengaluru Bulls,28,"Thyagaraj Sports Complex, Delhi",Patna Pirates beat Bengaluru Bulls (30-28)
Season 1,"Sunday, 09 August",20:00 (IST),Match 38 - Completed ,U Mumba,31,Bengal Warriors,17,"Thyagaraj Sports Complex, Delhi",U Mumba beat Bengal Warriors (31-17)
Season 1,"Sunday, 09 August",21:00 (IST),Match 39 - Completed ,Dabang Delhi K.C.,45,Patna Pirates,26,"Thyagaraj Sports Complex, Delhi",Dabang Delhi beat Patna Pirates (45-26)
Season 1,"Monday, 10 August",20:00 (IST),Match 40 - Completed ,Dabang Delhi K.C.,21,Jaipur Pink Panthers,51,"Thyagaraj Sports Complex, Delhi",Jaipur Pink Panthers beat Dabang Delhi (51-21)
Season 1,"Tuesday, 11 August",20:00 (IST),Match 41 - Completed ,Jaipur Pink Panthers,31,Puneri Paltan,18,"Thyagaraj Sports Complex, Delhi",Jaipur Pink Panthers beat Puneri Paltan (31-18)
Season 1,"Tuesday, 11 August",21:00 (IST),Match 42 - Completed ,Dabang Delhi K.C.,45,Telugu Titans,45,"Thyagaraj Sports Complex, Delhi",Match Tied
Season 1,"Wednesday, 12 August",20:00 (IST),Match 43 - Completed ,Bengaluru Bulls,29,U Mumba,36,"Sree Kanteerava Stadium, Bengaluru",U Mumba beat Bengaluru Bulls (36-29)
Season 1,"Thursday, 13 August",20:00 (IST),Match 44 - Completed ,Bengal Warriors,31,Puneri Paltan,28,"Sree Kanteerava Stadium, Bengaluru",Bengal Warriors beat Puneri Paltan (31-28)
Season 1,"Thursday, 13 August",21:00 (IST),Match 45 - Completed ,Bengaluru Bulls,25,Jaipur Pink Panthers,27,"Sree Kanteerava Stadium, Bengaluru",Jaipur Pink Panthers beat Bengaluru Bulls (27-25)
Season 1,"Friday, 14 August",20:00 (IST),Match 46 - Completed ,Bengal Warriors,32,Patna Pirates,34,"Sree Kanteerava Stadium, Bengaluru",Patna Pirates beat Bengal Warriors (34-32)
Season 1,"Friday, 14 August",21:00 (IST),Match 47 - Completed ,Bengaluru Bulls,40,Dabang Delhi K.C.,21,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls beat Dabang Delhi (40-21)
Season 1,"Saturday, 15 August",20:00 (IST),Match 48 - Completed ,Patna Pirates,27,U Mumba,32,"Sree Kanteerava Stadium, Bengaluru",U Mumba beat Patna Pirates (32-27)
Season 1,"Saturday, 15 August",21:00 (IST),Match 49 - Completed ,Bengaluru Bulls,43,Telugu Titans,29,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls beat Telugu Titans (43-29)
Season 1,"Sunday, 16 August",20:00 (IST),Match 50 - Completed ,Puneri Paltan,33,Dabang Delhi K.C.,28,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Dabang Delhi (33-28)
Season 1,"Sunday, 16 August",21:00 (IST),Match 51 - Completed ,Jaipur Pink Panthers,38,Bengal Warriors,39,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengal Warriors beat Jaipur Pink Panthers (39-38)
Season 1,"Monday, 17 August",20:00 (IST),Match 52 - Completed ,Puneri Paltan,34,U Mumba,39,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba beat Puneri Paltan (39-34)
Season 1,"Tuesday, 18 August",20:00 (IST),Match 53 - Completed ,U Mumba,25,Telugu Titans,46,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans beat U Mumba (46-25)
Season 1,"Tuesday, 18 August",21:00 (IST),Match 54 - Completed ,Puneri Paltan,21,Patna Pirates,38,"Shree Shiv Chhatrapati Sports Complex, Pune",Patna Pirates beat Puneri Paltan (38-21)
Season 1,"Wednesday, 19 August",20:00 (IST),Match 55 - Completed ,Patna Pirates,26,Jaipur Pink Panthers,24,"Shree Shiv Chhatrapati Sports Complex, Pune",Patna Pirates beat Jaipur Pink Panthers (26-24)
Season 1,"Wednesday, 19 August",21:00 (IST),Match 56 - Completed ,Puneri Paltan,30,Bengaluru Bulls,31,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat Puneri Paltan (31-30)
Season 1,"Friday, 21 August",20:00 (IST),Semi-Final 1 - Completed ,Telugu Titans,38,Bengaluru Bulls,39,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls beat Telugu Titans (39-38)
Season 1,"Friday, 21 August",21:00 (IST),Semi-Final 2 - Completed ,U Mumba,35,Patna Pirates,18,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Patna Pirates (35-18)
Season 1,"Sunday, 23 August",20:00 (IST),3/4 Place - Completed ,Patna Pirates,26,Telugu Titans,34,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans beat Patna Pirates (34-26)
Season 1,"Sunday, 23 August",21:00 (IST),Final - Completed ,U Mumba,36,Bengaluru Bulls,30,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Bengaluru Bulls (36-30)
Season 1,"Saturday, 26 July",20:00 (IST),Match 1 - Completed ,U Mumba,45,Jaipur Pink Panthers,31,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Jaipur Pink Panthers (45 - 31)
Season 1,"Saturday, 26 July",21:00 (IST),Match 2 - Completed ,Dabang Delhi K.C.,28,Bengaluru Bulls,47,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls beat Dabang Delhi (47 - 28)
Season 1,"Sunday, 27 July",20:00 (IST),Match 3 - Completed ,Bengaluru Bulls,40,Puneri Paltan,37,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls beat Puneri Paltan (40 - 37)
Season 1,"Sunday, 27 July",21:00 (IST),Match 4 - Completed ,U Mumba,36,Bengal Warriors,25,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Bengal Warriors (36 - 25)
Season 1,"Monday, 28 July",20:00 (IST),Match 5 - Completed ,Puneri Paltan,31,Dabang Delhi K.C.,35,"DOME@NSCI SVP Stadium, Mumbai",Dabang Delhi beat Puneri Paltan (35 - 31)
Season 1,"Monday, 28 July",21:00 (IST),Match 6 - Completed ,U Mumba,35,Telugu Titans,35,"DOME@NSCI SVP Stadium, Mumbai",Match Drawn (35 - 35)
Season 1,"Tuesday, 29 July",20:00 (IST),Match 7 - Completed ,U Mumba,36,Patna Pirates,33,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Patna Pirates (36 - 33)
Season 1,"Wednesday, 30 July",05:30 (IST),Match 8 - Completed ,Bengal Warriors,30,Bengaluru Bulls,46,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengaluru Bulls beat Bengal Warriors (46 - 30)
Season 1,"Thursday, 31 July",05:30 (IST),Match 9 - Completed ,Jaipur Pink Panthers,46,Telugu Titans,32,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Jaipur Pink Panthers beat Telugu Titans (46 - 32)
Season 1,"Thursday, 31 July",05:30 (IST),Match 10 - Completed ,Bengal Warriors,42,Dabang Delhi K.C.,40,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Dabang Delhi (42 - 40)
Season 1,"Friday, 01 August",05:30 (IST),Match 11 - Completed ,Telugu Titans,35,Patna Pirates,38,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates beat Telugu Titans (38 - 35)
Season 1,"Friday, 01 August",05:30 (IST),Match 12 - Completed ,Bengal Warriors,38,Puneri Paltan,35,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Puneri Paltan (38 - 35)
Season 1,"Saturday, 02 August",05:30 (IST),Match 13 - Completed ,Patna Pirates,18,Jaipur Pink Panthers,40,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Jaipur Pink Panthers beat Patna Pirates (40 - 18)
Season 1,"Saturday, 02 August",05:30 (IST),Match 14 - Completed ,Bengal Warriors,29,U Mumba,38,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",U Mumba beat Bengal Warriors (38 - 29)
Season 1,"Sunday, 03 August",05:30 (IST),Match 15 - Completed ,Dabang Delhi K.C.,35,Telugu Titans,39,"Thyagaraj Sports Complex, Delhi",Telugu Titans beat Dabang Delhi (39 - 35)
Season 1,"Sunday, 03 August",05:30 (IST),Match 16 - Completed ,Puneri Paltan,33,Bengaluru Bulls,31,"Thyagaraj Sports Complex, Delhi",Puneri Paltan beat Bengaluru Bulls (33 - 31)
Season 1,"Monday, 04 August",05:30 (IST),Match 17 - Completed ,U Mumba,44,Puneri Paltan,28,"Thyagaraj Sports Complex, Delhi",U Mumba beat Puneri Paltan (44 - 28)
Season 1,"Monday, 04 August",05:30 (IST),Match 18 - Completed ,Dabang Delhi K.C.,31,Patna Pirates,36,"Thyagaraj Sports Complex, Delhi",Patna Pirates beat Dabang Delhi (36 - 31)
Season 1,"Tuesday, 05 August",05:30 (IST),Match 19 - Completed ,Bengaluru Bulls,34,U Mumba,45,"Thyagaraj Sports Complex, Delhi",U Mumba beat Bengaluru Bulls (45 - 34)
Season 1,"Tuesday, 05 August",05:30 (IST),Match 20 - Completed ,Dabang Delhi K.C.,31,Jaipur Pink Panthers,40,"Thyagaraj Sports Complex, Delhi",Jaipur Pink Panthers beat Dabang Delhi (40 - 31)
Season 1,"Wednesday, 06 August",05:30 (IST),Match 21 - Completed ,Dabang Delhi K.C.,46,Bengal Warriors,36,"Thyagaraj Sports Complex, Delhi",Dabang Delhi beat Bengal Warriors (46 - 36)
Season 1,"Thursday, 07 August",05:30 (IST),Match 22 - Completed ,Patna Pirates,35,Puneri Paltan,27,"Patliputra Sports Complex, Patna",Patna Pirates beat Puneri Paltan (35 - 27)
Season 1,"Friday, 08 August",05:30 (IST),Match 23 - Completed ,Bengal Warriors,40,Telugu Titans,35,"Patliputra Sports Complex, Patna",Bengal Warriors beat Telugu Titans (40 - 35)
Season 1,"Friday, 08 August",05:30 (IST),Match 24 - Completed ,Patna Pirates,37,U Mumba,37,"Patliputra Sports Complex, Patna",Match Drawn (37 - 37)
Season 1,"Saturday, 09 August",05:30 (IST),Match 25 - Completed ,Telugu Titans,29,Jaipur Pink Panthers,49,"Patliputra Sports Complex, Patna",Jaipur Pink Panthers beat Telugu Titans (49 - 29)
Season 1,"Saturday, 09 August",05:30 (IST),Match 26 - Completed ,Patna Pirates,30,Dabang Delhi K.C.,30,"Patliputra Sports Complex, Patna",Match Drawn (30 - 30)
Season 1,"Sunday, 10 August",05:30 (IST),Match 27 - Completed ,Jaipur Pink Panthers,39,Bengal Warriors,23,"Patliputra Sports Complex, Patna",Jaipur Pink Panthers beat Bengal Warriors (39 - 23)
Season 1,"Sunday, 10 August",05:30 (IST),Match 28 - Completed ,Patna Pirates,35,Bengaluru Bulls,37,"Patliputra Sports Complex, Patna",Bengaluru Bulls beat Patna Pirates (37 - 35)
Season 1,"Tuesday, 12 August",05:30 (IST),Match 29 - Completed ,Puneri Paltan,36,Telugu Titans,42,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans beat Puneri Paltan (42 - 36)
Season 1,"Wednesday, 13 August",05:30 (IST),Match 30 - Completed ,U Mumba,30,Bengaluru Bulls,33,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat U Mumba (33 - 30)
Season 1,"Wednesday, 13 August",05:30 (IST),Match 31 - Completed ,Puneri Paltan,40,Bengal Warriors,30,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Bengal Warriors (40 - 30)
Season 1,"Thursday, 14 August",05:30 (IST),Match 32 - Completed ,Bengaluru Bulls,27,Dabang Delhi K.C.,29,"Shree Shiv Chhatrapati Sports Complex, Pune",Dabang Delhi beat Bengaluru Bulls (29 - 27)
Season 1,"Thursday, 14 August",05:30 (IST),Match 33 - Completed ,Puneri Paltan,23,Jaipur Pink Panthers,50,"Shree Shiv Chhatrapati Sports Complex, Pune",Jaipur Pink Panthers beat Puneri Paltan (50 - 23)
Season 1,"Friday, 15 August",05:30 (IST),Match 34 - Completed ,Dabang Delhi K.C.,36,U Mumba,27,"Shree Shiv Chhatrapati Sports Complex, Pune",Dabang Delhi beat U Mumba (36 - 27)
Season 1,"Friday, 15 August",05:30 (IST),Match 35 - Completed ,Puneri Paltan,31,Patna Pirates,37,"Shree Shiv Chhatrapati Sports Complex, Pune",Patna Pirates beat Puneri Paltan (37 - 31)
Season 1,"Saturday, 16 August",05:30 (IST),Match 36 - Completed ,Telugu Titans,28,Bengaluru Bulls,28,"Rajiv Gandhi Indoor Stadium, Vizag",Match Drawn (28 - 28)
Season 1,"Saturday, 16 August",05:30 (IST),Match 37 - Completed ,Bengal Warriors,33,Jaipur Pink Panthers,41,"Rajiv Gandhi Indoor Stadium, Vizag",Jaipur Pink Panthers beat Bengal Warriors (41 - 33)
Season 1,"Sunday, 17 August",05:30 (IST),Match 38 - Completed ,Jaipur Pink Panthers,30,Patna Pirates,52,"Rajiv Gandhi Indoor Stadium, Vizag",Patna Pirates beat Jaipur Pink Panthers (52 - 30)
Season 1,"Sunday, 17 August",05:30 (IST),Match 39 - Completed ,Telugu Titans,44,U Mumba,43,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat U Mumba (44 - 43)
Season 1,"Monday, 18 August",05:30 (IST),Match 40 - Completed ,Patna Pirates,28,Bengal Warriors,30,"Rajiv Gandhi Indoor Stadium, Vizag",Bengal Warriors beat Patna Pirates (30 - 28)
Season 1,"Monday, 18 August",05:30 (IST),Match 41 - Completed ,Telugu Titans,60,Puneri Paltan,24,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Puneri Paltan (60 - 24)
Season 1,"Tuesday, 19 August",05:30 (IST),Match 42 - Completed ,Telugu Titans,45,Dabang Delhi K.C.,26,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Dabang Delhi (45 - 26)
Season 1,"Wednesday, 20 August",05:30 (IST),Match 43 - Completed ,Jaipur Pink Panthers,36,Bengaluru Bulls,31,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Bengaluru Bulls (36 - 31)
Season 1,"Thursday, 21 August",05:30 (IST),Match 44 - Completed ,Bengal Warriors,32,Patna Pirates,36,"Sawai Mansingh Stadium, Jaipur",Patna Pirates beat Bengal Warriors (36 - 32)
Season 1,"Thursday, 21 August",05:30 (IST),Match 45 - Completed ,Jaipur Pink Panthers,31,U Mumba,31,"Sawai Mansingh Stadium, Jaipur",Match Drawn (31 - 31)
Season 1,"Friday, 22 August",05:30 (IST),Match 46 - Completed ,Telugu Titans,34,Bengal Warriors,34,"Sawai Mansingh Stadium, Jaipur",Match Drawn (34 - 34)
Season 1,"Friday, 22 August",05:30 (IST),Match 47 - Completed ,Jaipur Pink Panthers,41,Dabang Delhi K.C.,31,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Dabang Delhi (41 - 31)
Season 1,"Saturday, 23 August",05:30 (IST),Match 48 - Completed ,Patna Pirates,29,Telugu Titans,32,"Sawai Mansingh Stadium, Jaipur",Telugu Titans beat Patna Pirates (32 - 29)
Season 1,"Saturday, 23 August",05:30 (IST),Match 49 - Completed ,Jaipur Pink Panthers,33,Puneri Paltan,27,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Puneri Paltan (33 - 27)
Season 1,"Sunday, 24 August",05:30 (IST),Match 50 - Completed ,Bengaluru Bulls,37,Bengal Warriors,24,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls beat Bengal Warriors (37 - 24)
Season 1,"Sunday, 24 August",05:30 (IST),Match 51 - Completed ,U Mumba,37,Dabang Delhi K.C.,30,"Sree Kanteerava Stadium, Bengaluru",U Mumba beat Dabang Delhi (37 - 30)
Season 1,"Monday, 25 August",05:30 (IST),Match 52 - Completed ,Dabang Delhi K.C.,45,Puneri Paltan,22,"Sree Kanteerava Stadium, Bengaluru",Dabang Delhi beat Puneri Paltan (45 - 22)
Season 1,"Monday, 25 August",05:30 (IST),Match 53 - Completed ,Bengaluru Bulls,31,Patna Pirates,33,"Sree Kanteerava Stadium, Bengaluru",Patna Pirates beat Bengaluru Bulls (33 - 31)
Season 1,"Tuesday, 26 August",05:30 (IST),Match 54 - Completed ,Bengaluru Bulls,27,Telugu Titans,26,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls beat Telugu Titans (27 - 26)
Season 1,"Wednesday, 27 August",05:30 (IST),Match 55 - Completed ,Puneri Paltan,35,U Mumba,36,"Sree Kanteerava Stadium, Bengaluru",U Mumba beat Puneri Paltan (36 - 35)
Season 1,"Wednesday, 27 August",05:30 (IST),Match 56 - Completed ,Bengaluru Bulls,30,Jaipur Pink Panthers,29,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls beat Jaipur Pink Panthers (30 - 29)
Season 1,"Friday, 29 August",05:30 (IST),Semi-Final 1 - Completed ,Jaipur Pink Panthers,38,Patna Pirates,18,"DOME@NSCI SVP Stadium, Mumbai",Jaipur Pink Panthers beat Patna Pirates (38 - 18)
Season 1,"Friday, 29 August",05:30 (IST),Semi-Final 2 - Completed ,U Mumba,27,Bengaluru Bulls,23,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Bengaluru Bulls (27 - 23)
Season 1,"Sunday, 31 August",05:30 (IST),3rd Place Playoff - Completed ,Patna Pirates,29,Bengaluru Bulls,22,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Bengaluru Bulls (29 - 22)
Season 1,"Sunday, 31 August",05:30 (IST),Final - Completed ,Jaipur Pink Panthers,35,U Mumba,24,"DOME@NSCI SVP Stadium, Mumbai",Jaipur Pink Panthers beat U Mumba (35 - 24)
